Fecha,Serie,Moneda,Valor Libro,Valor Económico,Patrimonio Neto,Activo Total,Nº de Aportantes,Nº Aportantes Institucionales,Agencia
31/12/2014,UNICA,PROM,"196,4886","196,4886",43.957.447,44.006.578,9,9,N/A
01/01/2015,UNICA,PROM,"196,4878","196,4878",43.957.268,44.006.578,9,9,N/A
02/01/2015,UNICA,PROM,"196,4871","196,4871",43.957.112,44.006.578,9,9,N/A
03/01/2015,UNICA,PROM,"196,4864","196,4864",43.956.955,44.006.578,9,9,N/A
04/01/2015,UNICA,PROM,"196,4857","196,4857",43.956.798,44.006.578,9,9,N/A
05/01/2015,UNICA,PROM,"196,4849","196,4849",43.956.619,44.006.578,9,9,N/A
06/01/2015,UNICA,PROM,"196,4842","196,4842",43.956.463,44.006.578,9,9,N/A
07/01/2015,UNICA,PROM,"196,4835","196,4835",43.956.306,44.006.578,9,9,N/A
08/01/2015,UNICA,PROM,"196,4827","196,4827",43.956.127,44.006.578,9,9,N/A
09/01/2015,UNICA,PROM,"196,4820","196,4820",43.955.971,44.006.578,9,9,N/A
10/01/2015,UNICA,PROM,"196,4813","196,4813",43.955.814,44.006.578,9,9,N/A
11/01/2015,UNICA,PROM,"196,4806","196,4806",43.955.657,44.006.578,9,9,N/A
12/01/2015,UNICA,PROM,"196,4798","196,4798",43.955.478,44.006.578,9,9,N/A
13/01/2015,UNICA,PROM,"196,4791","196,4791",43.955.322,44.006.578,9,9,N/A
14/01/2015,UNICA,PROM,"196,4784","196,4784",43.955.165,44.006.578,9,9,N/A
15/01/2015,UNICA,PROM,"196,4776","196,4776",43.954.986,44.001.525,9,9,N/A
16/01/2015,UNICA,PROM,"196,4769","196,4769",43.954.830,43.970.865,9,9,N/A
17/01/2015,UNICA,PROM,"196,4762","196,4762",43.954.673,43.970.865,9,9,N/A
18/01/2015,UNICA,PROM,"196,4755","196,4755",43.954.516,43.970.865,9,9,N/A
19/01/2015,UNICA,PROM,"196,4747","196,4747",43.954.338,43.970.865,9,9,N/A
20/01/2015,UNICA,PROM,"196,4740","196,4740",43.954.181,43.970.865,9,9,N/A
21/01/2015,UNICA,PROM,"196,4733","196,4733",43.954.024,43.970.865,9,9,N/A
22/01/2015,UNICA,PROM,"196,4725","196,4725",43.953.845,43.970.865,9,9,N/A
23/01/2015,UNICA,PROM,"196,4718","196,4718",43.953.689,43.970.865,9,9,N/A
24/01/2015,UNICA,PROM,"196,4711","196,4711",43.953.532,43.970.865,9,9,N/A
25/01/2015,UNICA,PROM,"196,4704","196,4704",43.953.376,43.970.865,9,9,N/A
26/01/2015,UNICA,PROM,"196,4696","196,4696",43.953.197,43.970.865,9,9,N/A
27/01/2015,UNICA,PROM,"196,4689","196,4689",43.953.040,43.970.865,9,9,N/A
28/01/2015,UNICA,PROM,"196,4682","196,4682",43.952.883,43.970.865,9,9,N/A
29/01/2015,UNICA,PROM,"196,4630","196,4630",43.951.720,43.970.865,9,9,N/A
30/01/2015,UNICA,PROM,"196,4622","196,4622",43.951.541,43.970.865,9,9,N/A
31/01/2015,UNICA,PROM,"196,4055","196,4055",43.938.856,43.970.865,9,9,N/A
01/02/2015,UNICA,PROM,"196,4048","196,4048",43.938.700,43.970.865,9,9,N/A
02/02/2015,UNICA,PROM,"196,4041","196,4041",43.938.543,43.970.865,9,9,N/A
03/02/2015,UNICA,PROM,"196,4033","196,4033",43.938.364,43.970.865,9,9,N/A
04/02/2015,UNICA,PROM,"196,4026","196,4026",43.938.208,43.970.865,9,9,N/A
05/02/2015,UNICA,PROM,"196,4019","196,4019",43.938.051,43.970.865,9,9,N/A
06/02/2015,UNICA,PROM,"196,4011","196,4011",43.937.872,43.970.865,9,9,N/A
07/02/2015,UNICA,PROM,"196,4004","196,4004",43.937.715,43.970.865,9,9,N/A
08/02/2015,UNICA,PROM,"196,3997","196,3997",43.937.559,43.970.865,9,9,N/A
09/02/2015,UNICA,PROM,"196,3990","196,3990",43.937.402,43.970.865,9,9,N/A
10/02/2015,UNICA,PROM,"196,3982","196,3982",43.937.223,43.970.865,9,9,N/A
11/02/2015,UNICA,PROM,"196,3975","196,3975",43.937.067,43.965.811,9,9,N/A
12/02/2015,UNICA,PROM,"196,3968","196,3968",43.936.910,43.965.811,9,9,N/A
13/02/2015,UNICA,PROM,"196,3960","196,3960",43.936.731,43.965.811,9,9,N/A
14/02/2015,UNICA,PROM,"196,3953","196,3953",43.936.575,43.965.811,9,9,N/A
15/02/2015,UNICA,PROM,"196,3946","196,3946",43.936.418,43.965.811,9,9,N/A
16/02/2015,UNICA,PROM,"196,3939","196,3939",43.936.261,43.965.811,9,9,N/A
17/02/2015,UNICA,PROM,"196,3931","196,3931",43.936.082,43.965.811,9,9,N/A
18/02/2015,UNICA,PROM,"196,3924","196,3924",43.935.926,43.965.811,9,9,N/A
19/02/2015,UNICA,PROM,"196,3917","196,3917",43.935.769,43.965.811,9,9,N/A
20/02/2015,UNICA,PROM,"196,3909","196,3909",43.935.590,43.965.811,9,9,N/A
21/02/2015,UNICA,PROM,"196,3902","196,3902",43.935.434,43.965.811,9,9,N/A
22/02/2015,UNICA,PROM,"196,3895","196,3895",43.935.277,43.965.811,9,9,N/A
23/02/2015,UNICA,PROM,"196,3888","196,3888",43.935.120,43.965.811,9,9,N/A
24/02/2015,UNICA,PROM,"196,3880","196,3880",43.934.941,43.965.811,9,9,N/A
25/02/2015,UNICA,PROM,"196,3873","196,3873",43.934.785,43.965.811,9,9,N/A
26/02/2015,UNICA,PROM,"196,3866","196,3866",43.934.628,43.965.811,9,9,N/A
27/02/2015,UNICA,PROM,"196,3858","196,3858",43.934.449,43.965.811,9,9,N/A
28/02/2015,UNICA,PROM,"196,3771","196,3771",43.932.503,43.965.811,9,9,N/A
01/03/2015,UNICA,PROM,"196,3764","196,3764",43.932.346,43.965.811,9,9,N/A
02/03/2015,UNICA,PROM,"196,3757","196,3757",43.932.190,43.965.811,9,9,N/A
03/03/2015,UNICA,PROM,"196,3750","196,3750",43.932.033,43.965.811,9,9,N/A
04/03/2015,UNICA,PROM,"196,3742","196,3742",43.931.854,43.965.811,9,9,N/A
05/03/2015,UNICA,PROM,"196,3735","196,3735",43.931.698,43.965.811,9,9,N/A
06/03/2015,UNICA,PROM,"196,3728","196,3728",43.931.541,43.965.811,9,9,N7A
07/03/2015,UNICA,PROM,"196,3720","196,3720",43.931.362,43.965.811,9,9,N/A
08/03/2015,UNICA,PROM,"196,3713","196,3713",43.931.205,43.965.811,9,9,N/A
09/03/2015,UNICA,PROM,"196,3706","196,3706",43.931.049,43.965.811,9,9,N/A
10/03/2015,UNICA,PROM,"196,3699","196,3699",43.930.892,43.965.811,9,9,N/A
11/03/2015,UNICA,PROM,"196,3691","196,3691",43.930.713,43.965.811,9,9,N/A
12/03/2015,UNICA,PROM,"196,3684","196,3684",43.930.557,43.961.247,9,9,N/A
13/03/2015,UNICA,PROM,"196,3677","196,3677",43.930.400,43.961.247,9,9,N/A
14/03/2015,UNICA,PROM,"196,3669","196,3669",43.930.221,43.961.247,9,9,N/A
15/03/2015,UNICA,PROM,"196,3662","196,3662",43.930.064,43.961.247,9,9,N/A
16/03/2015,UNICA,PROM,"196,3655","196,3655",43.929.908,43.961.247,9,9,N/A
17/03/2015,UNICA,PROM,"196,3647","196,3647",43.929.729,43.961.247,9,9,N/A
18/03/2015,UNICA,PROM,"196,3640","196,3640",43.929.572,43.961.247,9,9,N/A
19/03/2015,UNICA,PROM,"196,3633","196,3633",43.929.416,43.961.247,9,9,N/A
20/03/2015,UNICA,PROM,"196,3626","196,3626",43.929.259,43.961.247,9,9,N/A
21/03/2015,UNICA,PROM,"196,3618","196,3618",43.929.080,43.961.247,9,9,N/A
22/03/2015,UNICA,PROM,"196,3611","196,3611",43.928.923,43.961.247,9,9,N/A
23/03/2015,UNICA,PROM,"196,3596","196,3596",43.928.588,43.961.247,9,9,N/A
24/03/2015,UNICA,PROM,"196,3589","196,3589",43.928.431,43.961.247,9,9,N/A
25/03/2015,UNICA,PROM,"196,3582","196,3582",43.928.275,43.961.247,9,9,N/A
26/03/2015,UNICA,PROM,"196,3503","196,3503",46.209.865,46.244.697,9,9,N/A
27/03/2015,UNICA,PROM,"196,3503","196,3503",46.209.865,46.244.697,9,9,N/A
28/03/2015,UNICA,PROM,"196,3496","196,3496",46.209.700,46.244.697,9,9,N/A
29/03/2015,UNICA,PROM,"196,3490","196,3490",46.209.559,46.244.697,9,9,N/A
30/03/2015,UNICA,PROM,"196,3483","196,3483",46.209.394,46.244.697,9,9,N/A
31/03/2015,UNICA,PROM,"196,3421","196,3421",46.207.935,46.244.697,9,9,N/A
01/04/2015,UNICA,PROM,"196,3414","196,3414",46.207.770,46.244.696,9,9,N/A
02/04/2015,UNICA,PROM,"196,3407","196,3407",46.207.606,46.244.697,9,9,N/A
03/04/2015,UNICA,PROM,"196,3400","196,3400",46.207.441,46.244.697,9,9,N/A
04/04/2015,UNICA,PROM,"196,3393","196,3393",46.207.276,46.244.697,9,9,N/A
05/04/2015,UNICA,PROM,"196,3386","196,3386",46.207.111,46.244.697,9,9,N/A
06/04/2015,UNICA,PROM,"196,3379","196,3379",46.206.947,46.244.697,9,9,N/A
07/04/2015,UNICA,PROM,"196,3372","196,3372",46.206.782,46.239.643,9,9,N/A
08/04/2015,UNICA,PROM,"196,3365","196,3365",46.206.617,46.239.643,9,9,N/A
09/04/2015,UNICA,PROM,"196,3358","196,3358",46.206.453,46.239.643,9,9,N/A
10/04/2015,UNICA,PROM,"196,3351","196,3351",46.206.288,46.239.643,9,9,N/A
11/04/2015,UNICA,PROM,"196,3344","196,3344",46.206.123,46.239.643,9,9,N/A
12/04/2015,UNICA,PROM,"196,3337","196,3337",46.205.958,46.239.643,9,9,N/A
13/04/2015,UNICA,PROM,"196,3331","196,3331",46.205.817,46.239.643,9,9,N/A
14/04/2015,UNICA,PROM,"196,3324","196,3324",46.205.652,46.239.643,9,9,N/A
15/04/2015,UNICA,PROM,"196,3317","196,3317",46.205.488,46.239.643,9,9,N/A
16/04/2015,UNICA,PROM,"196,3310","196,3310",46.205.323,46.239.643,9,9,N/A
17/04/2015,UNICA,PROM,"196,3303","196,3303",46.205.158,46.239.643,9,9,N/A
18/04/2015,UNICA,PROM,"196,3296","196,3296",46.204.993,46.239.643,9,9,N/A
19/04/2015,UNICA,PROM,"196,3289","196,3289",46.204.829,46.239.643,9,9,N/A
20/04/2015,UNICA,PROM,"196,3282","196,3282",46.204.664,46.239.643,9,9,N/A
21/04/2015,UNICA,PROM,"196,3275","196,3275",46.204.499,46.239.643,9,9,N/A
22/04/2015,UNICA,PROM,"196,3268","196,3268",46.204.334,46.239.643,9,9,N/A
23/04/2015,UNICA,PROM,"196,3261","196,3261",46.204.170,46.239.643,9,9,N/A
24/04/2015,UNICA,PROM,"196,3254","196,3254",46.204.005,46.239.643,9,9,N/A
25/04/2015,UNICA,PROM,"196,3247","196,3247",46.203.840,46.239.643,9,9,N/A
26/04/2015,UNICA,PROM,"196,3240","196,3240",46.203.675,46.239.643,9,9,N/A
27/04/2015,UNICA,PROM,"196,3234","196,3234",46.203.534,46.239.643,9,9,N/A
28/04/2015,UNICA,PROM,"196,3227","196,3227",46.203.370,46.239.643,9,9,N/A
29/04/2015,UNICA,PROM,"196,3213","196,3213",46.203.040,46.239.643,9,9,N/A
30/04/2015,UNICA,PROM,"201,1986","201,1986",47.350.883,47.390.396,9,9,N/A
01/05/2015,UNICA,PROM,"201,1979","201,1979",47.350.719,47.390.396,9,9,N/A
02/05/2015,UNICA,PROM,"201,1972","201,1972",47.350.554,47.390.396,9,9,N/A
03/05/2015,UNICA,PROM,"201,1965","201,1965",47.350.389,47.390.396,9,9,N/A
04/05/2015,UNICA,PROM,"201,1958","201,1958",47.350.224,47.390.396,9,9,N/A
05/05/2015,UNICA,PROM,"201,1951","201,1951",47.350.060,47.390.396,9,9,N/A
06/05/2015,UNICA,PROM,"201,1944","201,1944",47.349.895,47.390.396,9,9,N/A
07/05/2015,UNICA,PROM,"201,1937","201,1937",47.349.730,47.390.396,9,9,N/A
08/05/2015,UNICA,PROM,"201,1930","201,1930",47.349.565,47.390.396,9,9,N/A
09/05/2015,UNICA,PROM,"201,1924","201,1924",47.349.424,47.390.396,9,9,N/A
10/05/2015,UNICA,PROM,"201,1917","201,1917",47.349.259,47.390.396,9,9,N/A
11/05/2015,UNICA,PROM,"201,1910","201,1910",47.349.095,47.385.506,9,9,N/A
12/05/2015,UNICA,PROM,"201,1903","201,1903",47.348.930,47.385.506,9,9,N/A
13/05/2015,UNICA,PROM,"201,1896","201,1896",47.348.765,47.385.506,9,9,N/A
14/05/2015,UNICA,PROM,"201,1889","201,1889",47.348.600,47.385.506,9,9,N/A
15/05/2015,UNICA,PROM,"201,1882","201,1882",47.348.436,47.385.506,9,9,N/A
16/05/2015,UNICA,PROM,"201,1875","201,1875",47.348.271,47.385.506,9,9,N/A
17/05/2015,UNICA,PROM,"201,1868","201,1868",47.348.106,47.385.506,9,9,N/A
18/05/2015,UNICA,PROM,"201,1861","201,1861",47.347.942,47.385.506,9,9,N/A
19/05/2015,UNICA,PROM,"201,1854","201,1854",47.347.777,47.385.506,9,9,N/A
20/05/2015,UNICA,PROM,"201,1847","201,1847",47.347.612,47.385.506,9,9,N/A
21/05/2015,UNICA,PROM,"201,1840","201,1840",47.347.447,47.385.506,9,9,N/A
22/05/2015,UNICA,PROM,"201,1834","201,1834",47.347.306,47.385.506,9,9,N/A
23/05/2015,UNICA,PROM,"201,1827","201,1827",47.347.141,47.385.506,9,9,N/A
24/05/2015,UNICA,PROM,"201,1820","201,1820",47.346.977,47.385.506,9,9,N/A
25/05/2015,UNICA,PROM,"201,1813","201,1813",47.346.812,47.385.506,9,9,N/A
26/05/2015,UNICA,PROM,"201,1806","201,1806",47.346.647,47.385.506,9,9,N/A
27/05/2015,UNICA,PROM,"201,1799","201,1799",47.346.482,47.385.506,9,9,N/A
28/05/2015,UNICA,PROM,"201,1792","201,1792",47.346.318,47.385.506,9,9,N/A
29/05/2015,UNICA,PROM,"201,1785","201,1785",47.346.153,47.385.506,9,9,N/A
30/05/2015,UNICA,PROM,"201,1778","201,1778",47.345.988,47.385.506,9,9,N/A
31/05/2015,UNICA,PROM,"201,1663","201,1663",47.343.282,47.385.506,9,9,N/A
01/06/2015,UNICA,PROM,"201,1656","201,1656",47.343.117,47.385.506,9,9,N/A
02/06/2015,UNICA,PROM,"201,1649","201,1649",47.342.952,47.385.506,9,9,N/A
03/06/2015,UNICA,PROM,"201,1642","201,1642",47.342.787,47.385.506,9,9,N/A
04/06/2015,UNICA,PROM,"201,1635","201,1635",47.342.623,47.385.506,9,9,N/A
05/06/2015,UNICA,PROM,"201,1628","201,1628",47.342.458,47.385.506,9,9,N/A
06/06/2015,UNICA,PROM,"201,1621","201,1621",47.342.293,47.385.506,9,9,N/A
07/06/2015,UNICA,PROM,"201,1614","201,1614",47.342.129,47.385.506,9,9,N/A
08/06/2015,UNICA,PROM,"201,1607","201,1607",47.341.964,47.385.506,9,9,N/A
09/06/2015,UNICA,PROM,"201,1600","201,1600",47.341.799,47.385.506,9,9,N/A
10/06/2015,UNICA,PROM,"201,1593","201,1593",47.341.634,47.385.506,9,9,N/A
11/06/2015,UNICA,PROM,"201,1586","201,1586",47.341.470,47.385.506,9,9,N/A
12/06/2015,UNICA,PROM,"201,1580","201,1580",47.341.328,47.385.506,9,9,N/A
13/06/2015,UNICA,PROM,"201,1573","201,1573",47.341.164,47.385.506,9,9,N/A
14/06/2015,UNICA,PROM,"201,1566","201,1566",47.340.999,47.385.506,9,9,N/A
15/06/2015,UNICA,PROM,"201,1559","201,1559",47.340.834,47.385.506,9,9,N/A
16/06/2015,UNICA,PROM,"201,1552","201,1552",47.340.669,47.385.506,9,9,N/A
17/06/2015,UNICA,PROM,"201,1545","201,1545",47.340.505,47.385.506,9,9,N/A
18/06/2015,UNICA,PROM,"201,1538","201,1538",47.340.340,47.385.506,9,9,N/A
19/06/2015,UNICA,PROM,"201,1531","201,1531",47.340.175,47.385.506,9,9,N/A
20/06/2015,UNICA,PROM,"201,1524","201,1524",47.340.010,47.385.506,9,9,N/A
21/06/2015,UNICA,PROM,"201,1517","201,1517",47.339.846,47.385.506,9,9,N/A
22/06/2015,UNICA,PROM,"201,1510","201,1510",47.339.681,47.380.453,9,9,N/A
23/06/2015,UNICA,PROM,"201,1503","201,1503",47.339.516,47.380.453,9,9,N/A
24/06/2015,UNICA,PROM,"201,1496","201,1496",47.339.351,47.380.453,9,9,N/A
25/06/2015,UNICA,PROM,"201,1489","201,1489",47.339.187,47.380.453,9,9,N/A
26/06/2015,UNICA,PROM,"201,1483","201,1483",47.339.046,47.380.453,9,9,N/A
27/06/2015,UNICA,PROM,"201,1476","201,1476",47.338.881,47.380.453,9,9,N/A
28/06/2015,UNICA,PROM,"201,1469","201,1469",47.338.716,47.380.453,9,9,N/A
29/06/2015,UNICA,PROM,"201,1370","201,1370",47.336.386,47.380.453,9,9,N/A
30/06/2015,UNICA,PROM,"201,1361","201,1361",47.336.174,47.357.550,9,9,N/A
01/07/2015,UNICA,PROM,"201,1354","201,1354",47.336.010,47.357.550,9,9,N/A
02/07/2015,UNICA,PROM,"201,1347","201,1347",47.335.845,47.357.550,9,9,N/A
03/07/2015,UNICA,PROM,"201,1340","201,1340",47.335.680,47.357.550,9,9,N/A
04/07/2015,UNICA,PROM,"201,1333","201,1333",47.335.515,47.357.550,9,9,N/A
05/07/2015,UNICA,PROM,"201,1326","201,1326",47.335.351,47.357.550,9,9,N/A
06/07/2015,UNICA,PROM,"201,1319","201,1319",47.335.186,47.357.550,9,9,N/A
07/07/2015,UNICA,PROM,"201,1312","201,1312",47.335.021,47.357.550,9,9,N/A
08/07/2015,UNICA,PROM,"201,1305","201,1305",47.334.856,47.357.550,9,9,N/A
09/07/2015,UNICA,PROM,"201,1299","201,1299",47.334.715,47.357.550,9,9,N/A
10/07/2015,UNICA,PROM,"201,1292","201,1292",47.334.550,47.357.550,9,9,N/A
11/07/2015,UNICA,PROM,"201,1285","201,1285",47.334.386,47.357.550,9,9,N/A
12/07/2015,UNICA,PROM,"201,1278","201,1278",47.334.221,47.357.550,9,9,N/A
13/07/2015,UNICA,PROM,"201,1271","201,1271",47.334.056,47.357.550,9,9,N/A
14/07/2015,UNICA,PROM,"201,1264","201,1264",47.333.891,47.357.550,9,9,N/A
15/07/2015,UNICA,PROM,"201,1257","201,1257",47.333.727,47.357.550,9,9,N/A
16/07/2015,UNICA,PROM,"201,1250","201,1250",47.333.562,47.357.550,9,9,N/A
17/07/2015,UNICA,PROM,"201,1243","201,1243",47.333.397,47.357.550,9,9,N/A
18/07/2015,UNICA,PROM,"201,1236","201,1236",47.333.233,47.357.550,9,9,N/A
19/07/2015,UNICA,PROM,"201,1229","201,1229",47.333.068,47.357.550,9,9,N/A
20/07/2015,UNICA,PROM,"201,1222","201,1222",47.332.903,47.357.550,9,9,N/A
21/07/2015,UNICA,PROM,"201,1215","201,1215",47.332.738,47.357.550,9,9,N/A
22/07/2015,UNICA,PROM,"201,1208","201,1208",47.332.574,47.357.550,9,9,N/A
23/07/2015,UNICA,PROM,"201,1202","201,1202",47.332.432,47.357.550,9,9,N/A
24/07/2015,UNICA,PROM,"201,1195","201,1195",47.332.268,47.357.550,9,9,N/A
25/07/2015,UNICA,PROM,"201,1188","201,1188",47.332.103,47.357.550,9,9,N/A
26/07/2015,UNICA,PROM,"201,1181","201,1181",47.331.938,47.357.550,9,9,N/A
27/07/2015,UNICA,PROM,"201,1174","201,1174",47.331.773,47.357.550,9,9,N/A
28/07/2015,UNICA,PROM,"201,1167","201,1167",47.331.609,47.357.550,9,9,N/A
29/07/2015,UNICA,PROM,"207,4863","207,4863",48.830.656,48.856.766,9,9,N/A
30/07/2015,UNICA,PROM,"207,4856","207,4856",48.830.491,48.856.766,9,9,N/A
31/07/2015,UNICA,PROM,"207,4735","207,4735",48.827.643,48.851.876,9,9,N/A
01/08/2015,UNICA,PROM,"207,4728","207,4728",48.827.479,48.851.876,9,9,N/A
02/08/2015,UNICA,PROM,"207,4721","207,4721",48.827.314,48.851.876,9,9,N/A
03/08/2015,UNICA,PROM,"207,4714","207,4714",48.827.149,48.851.876,9,9,N/A
04/08/2015,UNICA,PROM,"207,4707","207,4707",48.826.984,48.851.876,9,9,N/A
05/08/2015,UNICA,PROM,"207,4700","207,4700",48.826.820,48.851.876,9,9,N/A
06/08/2015,UNICA,PROM,"207,4694","207,4694",48.826.678,48.851.876,9,9,N/A
07/08/2015,UNICA,PROM,"207,4687","207,4687",48.826.514,48.851.876,9,9,N/A
08/08/2015,UNICA,PROM,"207,4680","207,4680",48.826.349,48.851.876,9,9,N/A
09/08/2015,UNICA,PROM,"207,4673","207,4673",48.826.184,48.851.876,9,9,N/A
10/08/2015,UNICA,PROM,"207,4666","207,4666",48.826.020,48.851.876,9,9,N/A
11/08/2015,UNICA,PROM,"207,4659","207,4659",48.825.855,48.851.876,9,9,N/A
12/08/2015,UNICA,PROM,"207,4652","207,4652",48.825.690,48.851.876,9,9,N/A
13/08/2015,UNICA,PROM,"207,4645","207,4645",48.825.525,48.851.876,9,9,N/A
14/08/2015,UNICA,PROM,"207,4638","207,4638",48.825.361,48.851.876,9,9,N/A
15/08/2015,UNICA,PROM,"207,4631","207,4631",48.825.196,48.851.876,9,9,N/A
16/08/2015,UNICA,PROM,"207,4624","207,4624",48.825.031,48.851.876,9,9,N/A
17/08/2015,UNICA,PROM,"207,4617","207,4617",48.824.866,48.851.876,9,9,N/A
18/08/2015,UNICA,PROM,"207,4610","207,4610",48.824.702,48.851.876,9,9,N/A
19/08/2015,UNICA,PROM,"207,4604","207,4604",48.824.560,48.851.876,9,9,N/A
20/08/2015,UNICA,PROM,"207,4597","207,4597",48.824.396,48.851.876,9,9,N/A
21/08/2015,UNICA,PROM,"207,4590","207,4590",48.824.231,48.851.876,9,9,N/A
22/08/2015,UNICA,PROM,"207,4583","207,4583",48.824.066,48.851.876,9,9,N/A
23/08/2015,UNICA,PROM,"207,4576","207,4576",48.823.901,48.851.876,9,9,N/A
24/08/2015,UNICA,PROM,"207,4569","207,4569",48.823.737,48.851.876,9,9,N/A
25/08/2015,UNICA,PROM,"207,4562","207,4562",48.823.572,48.851.876,9,9,N/A
26/08/2015,UNICA,PROM,"207,4555","207,4555",48.823.407,48.851.876,9,9,N/A
27/08/2015,UNICA,PROM,"207,4548","207,4548",48.823.242,48.851.876,9,9,N/A
28/08/2015,UNICA,PROM,"207,4541","207,4541",48.823.078,48.851.876,9,9,N/A
29/08/2015,UNICA,PROM,"207,4534","207,4534",48.822.913,48.851.876,9,9,N/A
30/08/2015,UNICA,PROM,"207,4527","207,4527",48.822.748,48.851.876,9,9,N/A
31/08/2015,UNICA,PROM,"207,4347","207,4347",48.818.512,48.850.931,9,9,N/A
01/09/2015,UNICA,PROM,"207,4340","207,4340",48.818.347,48.850.931,9,9,N/A
02/09/2015,UNICA,PROM,"207,4333","207,4333",48.818.183,48.850.931,9,9,N/A
03/09/2015,UNICA,PROM,"207,4327","207,4327",48.818.041,48.850.931,9,9,N/A
04/09/2015,UNICA,PROM,"207,4320","207,4320",48.817.877,48.850.931,9,9,N/A
05/09/2015,UNICA,PROM,"207,4313","207,4313",48.817.712,48.850.931,9,9,N/A
06/09/2015,UNICA,PROM,"207,4306","207,4306",48.817.547,48.850.931,9,9,N/A
07/09/2015,UNICA,PROM,"207,4299","207,4299",48.817.382,48.850.931,9,9,N/A
08/09/2015,UNICA,PROM,"207,4292","207,4292",48.817.218,48.850.931,9,9,N/A
09/09/2015,UNICA,PROM,"207,4285","207,4285",48.817.053,48.850.931,9,9,N/A
10/09/2015,UNICA,PROM,"207,4278","207,4278",48.816.888,48.850.931,9,9,N/A
11/09/2015,UNICA,PROM,"207,4271","207,4271",48.816.723,48.850.931,9,9,N/A
12/09/2015,UNICA,PROM,"207,4264","207,4264",48.816.559,48.850.931,9,9,N/A
13/09/2015,UNICA,PROM,"207,4257","207,4257",48.816.394,48.850.931,9,9,N/A
14/09/2015,UNICA,PROM,"207,4250","207,4250",48.816.229,48.850.931,9,9,N/A
15/09/2015,UNICA,PROM,"207,4243","207,4243",48.816.064,48.850.931,9,9,N/A
16/09/2015,UNICA,PROM,"207,4237","207,4237",48.815.923,48.850.931,9,9,NA
17/09/2015,UNICA,PROM,"207,4230","207,4230",48.815.759,48.850.931,9,9,N/A
18/09/2015,UNICA,PROM,"207,4223","207,4223",48.815.594,48.850.931,9,9,N/A
19/09/2015,UNICA,PROM,"207,4216","207,4216",48.815.429,48.850.931,9,9,N/A
20/09/2015,UNICA,PROM,"207,4209","207,4209",48.815.264,48.850.931,9,9,N/A
21/09/2015,UNICA,PROM,"207,4202","207,4202",48.815.100,48.850.931,9,9,N/A
22/09/2015,UNICA,PROM,"207,4195","207,4195",48.814.935,48.850.931,9,9,N/A
23/09/2015,UNICA,PROM,"207,4188","207,4188",48.814.770,48.850.931,9,9,N/A
24/09/2015,UNICA,PROM,"207,4181","207,4181",48.814.605,48.850.931,9,9,N/A
25/09/2015,UNICA,PROM,"207,4174","207,4174",48.814.441,48.850.931,9,9,N/A
26/09/2015,UNICA,PROM,"207,4167","207,4167",48.814.276,48.850.931,9,9,N/A
27/09/2015,UNICA,PROM,"207,4160","207,4160",48.814.111,48.850.931,9,9,N/A
28/09/2015,UNICA,PROM,"207,4153","207,4153",48.813.946,48.850.931,9,9,N/A
29/09/2015,UNICA,PROM,"207,4146","207,4146",48.813.782,48.850.931,9,9,N/A
30/09/2015,UNICA,PROM,"207,3959","207,3959",48.809.381,48.850.722,9,9,N/A
01/10/2015,UNICA,PROM,"207,3952","207,3952",48.809.216,48.850.722,9,9,N/A
02/10/2015,UNICA,PROM,"207,3945","207,3945",48.809.051,48.850.722,9,9,N/A
03/10/2015,UNICA,PROM,"207,3938","207,3938",48.808.886,48.850.722,9,9,N/A
04/10/2015,UNICA,PROM,"207,3931","207,3931",48.808.722,48.850.722,9,9,N/A
05/10/2015,UNICA,PROM,"207,3924","207,3924",48.808.557,48.850.722,9,9,N/A
06/10/2015,UNICA,PROM,"207,3917","207,3917",48.808.392,48.850.722,9,9,N/A
07/10/2015,UNICA,PROM,"207,3910","207,3910",48.808.228,48.850.722,9,9,N/A
08/10/2015,UNICA,PROM,"207,3903","207,3903",48.808.063,48.850.722,9,9,NA
09/10/2015,UNICA,PROM,"207,3896","207,3896",48.807.898,48.850.722,9,9,N/A
10/10/2015,UNICA,PROM,"207,3889","207,3889",48.807.733,48.850.722,9,9,N/A
11/10/2015,UNICA,PROM,"207,3882","207,3882",48.807.569,48.850.722,9,9,N/A
12/10/2015,UNICA,PROM,"207,3876","207,3876",48.807.427,48.850.722,9,9,N/A
13/10/2015,UNICA,PROM,"207,3869","207,3869",48.807.263,48.850.722,9,9,N/A
14/10/2015,UNICA,PROM,"207,3862","207,3862",48.807.098,48.850.722,9,9,N/A
15/10/2015,UNICA,PROM,"207,3855","207,3855",48.806.933,48.850.722,9,9,N/A
16/10/2015,UNICA,PROM,"207,3848","207,3848",48.806.768,48.850.722,9,9,N/A
17/10/2015,UNICA,PROM,"207,3841","207,3841",48.806.604,48.850.722,9,9,N/A
18/10/2015,UNICA,PROM,"207,3834","207,3834",48.806.439,48.850.722,9,9,N/A
19/10/2015,UNICA,PROM,"207,3827","207,3827",48.806.274,48.850.722,9,9,N/A
20/10/2015,UNICA,PROM,"207,3820","207,3820",48.806.109,48.850.722,9,9,N/A
21/10/2015,UNICA,PROM,"207,3813","207,3813",48.805.945,48.850.722,9,9,N/A
22/10/2015,UNICA,PROM,"207,3806","207,3806",48.805.780,48.850.722,9,9,N/A
